ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
อควาเรียส วัน AQUARIUS ONE,สกิน นูริชชิ่ง สเปรย์ SKIN NOURISHING SPRAY,12-1-6800002136,68,ผลิต,อนุมัติ,21/1/2568,20/1/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,นาย ธนัญชัย พิรุณพันธ์,U1CM00012168000021361266001121C,
อิซซี่ เซเลบ สกิน AYZIE CELEB SKIN,แอร์รี่ แมทท์ ฟาวน์เดชั่น AIRY MATTE FOUNDATION,12-1-6800009781,68,ผลิต,อนุมัติ,26/3/2568,25/3/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท เกรสฟูล กลาเมอร์ จำกัด,U1CM00012168000097811266001126C,
บี.เฟรนด์ B.FRIEND,บี.คลาวด์ เพอร์ฟูม B.CLOUD PERFUME,12-1-6800022549,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท แฟชั่นไวส์เวนิว จำกัด,U1CM00012168000225491266001121C,
บี.เฟรนด์ B.FRIEND,บี.โฮพ เพอร์ฟูม B.HOPE PERFUME,12-1-6800022550,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท แฟชั่นไวส์เวนิว จำกัด,U1CM00012168000225501266001121C,
บี.เฟรนด์ B.FRIEND,บี.ไคนด์ เพอร์ฟูม B.KIND PERFUME,12-1-6800022551,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท แฟชั่นไวส์เวนิว จำกัด,U1CM00012168000225511266001121C,
บี.เฟรนด์ B.FRIEND,บี.เลิฟ เพอร์ฟูม B.LOVE PERFUME,12-1-6800022552,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท แฟชั่นไวส์เวนิว จำกัด,U1CM00012168000225521266001121C,
บี.เฟรนด์ B.FRIEND,บี.ทรู เพอร์ฟูม B.TRUE PERFUME,12-1-6800022553,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท แฟชั่นไวส์เวนิว จำกัด,U1CM00012168000225531266001121C,
บิวตี้ ฟอร์ ยู BEAUTY FOR YOU,แอบโซลูท ไวท์ เซรั่ม ABSOLUTE WHITE SERUM,12-1-6800018304,68,ผลิต,อนุมัติ,13/6/2568,12/6/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,นาย สิรภพ เลิศศุภกิจสิน,U1CM00012168000183041266001121C,
บีสโปค BESPOKE,เชฟวิ่ง ครีม SHAVING CREAM,12-1-6800020900,68,ผลิต,อนุมัติ,4/7/2568,3/7/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท สยามนวพล อินเตอร์เทรด จำกัด,U1CM00012168000209001266001121C,
บีแม็ก BMAX,คอนเซนเทรด ไวท์ เซรั่ม CONCENTRATED WHITE SERUM,12-1-6800002702,68,ผลิต,อนุมัติ,24/1/2568,23/1/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,นาย ธนิศ สิทธิสอน,U1CM00012168000027021266001121C,
เคที่ ดอลล์ CATHY DOLL,ปอม ปอม เกิร์ล ฮิป อัพ มาสก์ POM POM GIRL HIP UP MASK,12-1-6800019241,68,ผลิต,อนุมัติ,20/6/2568,19/6/2571,บริษัท พฤกษา แลบบอราเทอรี่ จำกัด,-,บริษัท คาร์มาร์ท จำกัด (มหาชน),U1CM00012168000192411266001121C,
