ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เอสเม AESME,ดาร์ก สปอต คอร์เรคชั่น ไวท์เทนนิ่ง เซรั่ม DARK SPOT CORRECTION WHITENING SERUM,73-1-6800006500,68,ผลิต,อนุมัติ,27/2/2568,26/2/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท เอสเม แลบบอราทอรี่ จำกัด,U1CM00073168000065007362000251C,
เอสเม AESME,เรตินอล คอมเพล็กซ์ อินเท็นซีฟ เจนเทิล เซรั่ม RETINOL COMPLEX INTENSIVE GENTLE SERUM,73-1-6800007644,68,ผลิต,อนุมัติ,8/3/2568,7/3/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท เอสเม แลบบอราทอรี่ จำกัด,U1CM00073168000076447362000251C,
อติ ATI,แฮนด์ แอนด์ บอดี้ วอช HAND & BODY WASH,73-1-6800010310,68,ผลิต,อนุมัติ,31/3/2568,30/3/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท อุดหนุน จำกัด,U1CM00073168000103107362000251C,
อติ ATI,ชาวเวอร์ เจล SHOWER GEL,73-1-6800007645,68,ผลิต,อนุมัติ,8/3/2568,7/3/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท อุดหนุน จำกัด,U1CM00073168000076457362000251C,
เซเลคิน CELEKIN,ไฮยาไบโอติก เจนเทิล เอ็กซ์โฟลิเอติง เอสเซนส์ HYABIOTIC GENTLE EXFOLIATING ESSENCE,73-1-6800006403,68,ผลิต,อนุมัติ,26/2/2568,25/2/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท บิวตี้ พัลส์ 6595 จำกัด,U1CM00073168000064037362000251C,
เซเลคิน CELEKIN,เมลาโนเลส เซรามิก สกิน ไฮบริด ซันสกรีน เอสพีเอฟ50+ พีเอ++++ MELANOLESS CERAMIC SKIN HYBRID SUNSCREEN SPF50+ PA++++,73-1-6800005539,68,ผลิต,อนุมัติ,19/2/2568,18/2/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท บิวตี้ พัลส์ 6595 จำกัด,U1CM00073168000055397362000251C,
เซเลคิน CELEKIN,มอยส์ชีลด์ บีไฟฟ์ พลัส ครีม MOISTSHIELD B5+ CREAM,73-1-6800002086,68,ผลิต,อนุมัติ,21/1/2568,20/1/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท บิวตี้ พัลส์ 6595 จำกัด,U1CM00073168000020867362000251C,
เซเลคิน CELEKIN,มอยส์ชิลด์ เพอร์เฟกต์ เพียวริฟายอิ้ง คลีนซิ่ง เจล MOISTSHIELD PERFECT PURIFYING CLEANSING GEL,73-1-6800005550,68,ผลิต,ยกเลิก (24/2/2568),19/2/2568,24/2/2568,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท บิวตี้ พัลส์ 6595 จำกัด,U1CM00073168000055507362000251C,
เซเลคิน CELEKIN,มอยส์ชิลด์ เพอร์เฟกต์ เพียวริฟายอิ้ง คลีนซิ่ง เจล MOISTSHIELD PERFECT PURIFYING CLEANSING GEL,73-1-6800006234,68,ผลิต,อนุมัติ,25/2/2568,24/2/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท บิวตี้ พัลส์ 6595 จำกัด,U1CM00073168000062347362000251C,
เซเลคิน CELEKIN,เอ็กซ์ ฟิฟตี แอดวานซ์ อิลลูมิเนติง เซรั่ม X50 ADVANCED ILLUMINATING SERUM,73-1-6800007565,68,ผลิต,อนุมัติ,7/3/2568,6/3/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท บิวตี้ พัลส์ 6595 จำกัด,U1CM00073168000075657362000251C,
เซเลสทิค CELESTIQUE,เอคโทอิน - อินฟิวส์ มัลติเวิร์ส ซันสกรีน ECTOIN - INFUSED MULTIVERSE SUNSCREEN,73-1-6800005549,68,ผลิต,อนุมัติ,19/2/2568,18/2/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท สกินเมดิก จำกัด,U1CM00073168000055497362000251C,
เซเลสทิค CELESTIQUE,เอ็กซ์ทรีโมไลท์ส แบริเออร์ เจล-ครีม EXTREMOLYTE BARRIER GEL-CREAM,73-1-6800001900,68,ผลิต,อนุมัติ,20/1/2568,19/1/2571,บริษัท ออกานิกส์ คอสเม่ จำกัด,-,บริษัท สกินเมดิก จำกัด,U1CM00073168000019007362000251C,
