ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
ขาวมณี KAOWMANEE,แป้งสมุนไพร ต้นตำรับ ORIGINAL HERBAL POWDER,11-1-6800018998,68,ผลิต,อนุมัติ,19/6/2568,18/6/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,ห้างหุ้นส่วนจำกัด พันธ์เชษฐ์ 2549,U1CM00011168000189981052000211C,
สกิน บริทตี้ SKIN BRITY,ออน โกลว์วิ่ง ชิมเมอร์ บลัช ON GLOWING SHIMMER BLUSH,11-2-6800017072,68,นำเข้า,อนุมัติ,20/5/2568,19/5/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,"KAIYA (SHANTOU ) COSMETICS CO., LTD. 5F & 6F, DASHENG PLANT, PUTOU INDUSTRIAL PARK, DALU, JINPING DISTRICT, SHANTOU CITY GUANGDONG PROVINCE , PEOPLE’S REPUBLIC OF CHINA",,U1CM00011268000170721163001916C,
ตรางู SNAKE BRAND,แป้งเย็น ลาเวนเดอร์ COOLING POWDER LAVENDER,11-1-6800011741,68,ผลิต,อนุมัติ,17/4/2568,16/4/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011168000117411052000211C,
ตรางู SNAKE BRAND,ปริกลี่ฮีท พาวเดอร์ คลาสสิค PRICKLY HEAT POWDER CLASSIC,11-1-6800005865,68,ผลิต,อนุมัติ,21/2/2568,20/2/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011168000058651052000211C,
ตรางู SNAKE BRAND,ปริกลี่ฮีท พาวเดอร์ คูล พิ้งค์ PRICKLY HEAT POWDER COOL PINK,11-1-6800006095,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011168000060951052000211C,
ตรางู SNAKE BRAND,ปริกลี่ฮีท พาวเดอร์ ลาเวนเดอร์ PRICKLY HEAT POWDER LAVENDER,11-1-6800005864,68,ผลิต,อนุมัติ,21/2/2568,20/2/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011168000058641052000211C,
ตรางู SNAKE BRAND,ปริกลี่ ฮีท พาวเดอร์ โอเชียน เฟรช PRICKLY HEAT POWDER OCEAN FRESH,11-1-6800006097,68,ผลิต,อนุมัติ,24/2/2568,23/2/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011168000060971052000211C,
TAPIES,SKIN BRIGHTENING POWDER DEODORANT,11-3-6800000587,68,,ยกเลิก (16/7/2568),25/6/2568,16/7/2568,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011368000005871052000211C,
TAPIES,SKIN COOLING POWDER DEODORANT,11-3-6800000585,68,,ยกเลิก (16/7/2568),23/6/2568,16/7/2568,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011368000005851052000211C,
TAPIES SKIN,BRIGHTENING DEODORANT POWDER,11-3-6800000977,68,,อนุมัติ,18/9/2568,17/9/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011368000009771052000211C,
TAPIES SKIN,BRIGHTENING POWDER DEODORANT,11-3-6800000667,68,,อนุมัติ,16/7/2568,15/7/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011368000006671052000211C,
TAPIES SKIN,COOLING POWDER DEODORANT,11-3-6800000668,68,,อนุมัติ,16/7/2568,15/7/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011368000006681052000211C,
TAPIES SKIN,SMOOTH COOLING DEODORANT POWDER,11-3-6800000976,68,,อนุมัติ,18/9/2568,17/9/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,,U1CM00011368000009761052000211C,
เซนเซล ZENCELL,ไฮโดรเจน เฟเชี่ยล สเปรย์ HYDROGEN FACIAL SPRAY,11-1-6800004927,68,ผลิต,อนุมัติ,14/2/2568,13/2/2571,บริษัท อังกฤษตรางู (แอล.พี.) จำกัด,-,บริษัท วงศ์ตราวรรณ จำกัด,U1CM00011168000049271052000211C,
