ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
เซเว่นทีน 17,บลูมมิ่ง ไบร์ท แอนด์ เบลอ ไพร์เมอร์ เอสพีเอฟ15 พีเอ+ BLOOMING BRIGHT & BLUR PRIMER SPF15 PA+,11-1-6800019926,68,ผลิต,ยกเลิก (4/8/2568),26/6/2568,4/8/2568,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000199261061227311C,
เซเว่นทีน 17,บลูมมิ่ง ไบร์ท แอนด์ เบลอ ไพร์เมอร์ เอสพีเอฟ15 พีเอ+ BLOOMING BRIGHT & BLUR PRIMER SPF15 PA+,11-1-6800025704,68,ผลิต,อนุมัติ,14/8/2568,13/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000257041061227311C,
เซเว่นทีน 17,บลูมมิ่ง โบรว์ สคัลป์ติ้ง มาสคาร่า #เคลียร์ BLOOMING BROW SCULPTING MASCARA #CLEAR,11-1-6800020109,68,ผลิต,อนุมัติ,27/6/2568,26/6/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000201091061227311C,
เซเว่นทีน 17,บลูมมิ่ง โบรว์ สคัลป์ติ้ง มาสคาร่า #มีเดียม บลอนด์ BLOOMING BROW SCULPTING MASCARA #MEDIUM BLOND,11-1-6800020117,68,ผลิต,ยกเลิก (4/8/2568),27/6/2568,4/8/2568,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000201171061227311C,
เซเว่นทีน 17,บลูมมิ่ง โบรว์ สคัลป์ติ้ง มาสคาร่า #มีเดียม บลอนด์ BLOOMING BROW SCULPTING MASCARA #MEDIUM BLOND,11-1-6800025705,68,ผลิต,อนุมัติ,14/8/2568,13/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000257051061227311C,
เซเว่นทีน 17,บลูมมิ่ง โบรว์ สคัลป์ติ้ง มาสคาร่า #มีเดียม บราวน์ BLOOMING BROW SCULPTING MASCARA #MEDIUM BROWN,11-1-6800020116,68,ผลิต,ยกเลิก (4/8/2568),27/6/2568,4/8/2568,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000201161061227311C,
เซเว่นทีน 17,บลูมมิ่ง โบรว์ สคัลป์ติ้ง มาสคาร่า #มีเดียม บราวน์ BLOOMING BROW SCULPTING MASCARA #MEDIUM BROWN,11-1-6800025709,68,ผลิต,อนุมัติ,14/8/2568,13/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000257091061227311C,
เซเว่นทีน 17,บลูมมิ่ง เคิร์ล สวีท อายส์ มาสคาร่า #แบล็ค BLOOMING CURL SWEET EYES MASCARA #BLACK,11-1-6800020108,68,ผลิต,ยกเลิก (4/8/2568),27/6/2568,4/8/2568,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000201081061227311C,
เซเว่นทีน 17,บลูมมิ่ง เคิร์ล สวีท อายส์ มาสคาร่า #แบล็ค BLOOMING CURL SWEET EYES MASCARA #BLACK,11-1-6800026357,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000263571061227311C,
เซเว่นทีน 17,บลูมมิ่ง ดิว แอร์ คุชชั่น เอสพีเอฟ35 พีเอ++ #01 ไอวอรี่ BLOOMING DEW AIR CUSHION SPF35 PA++ #01 IVORY,11-1-6800019922,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000199221061227311C,
เซเว่นทีน 17,บลูมมิ่ง ดิว แอร์ คุชชั่น เอสพีเอฟ35 พีเอ++ #02 แซนด์ BLOOMING DEW AIR CUSHION SPF35 PA++ #02 SAND,11-1-6800019923,68,ผลิต,อนุมัติ,26/6/2568,25/6/2571,บริษัท อินเตอร์เนชั่นแนล แลบบอราทอรีส์ จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00011168000199231061227311C,
