ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
อาเซปโซ ASEPSO,บอดี้ วอช ลาเวนเดอร์ เฟรช BODY WASH LAVENDER FRESH,10-1-6800002619,68,ผลิต,อนุมัติ,24/1/2568,23/1/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,,U1CM00010168000026191054009691C,
บานาน่าโบ๊ท BANANA BOAT,อควา ไบร์ทเทนนิ่ง ยูวีโพรเทคชั่น ซันสกรีนโลชั่น เอสพีเอฟ 50+ พีเอ++++ AQUA BRIGHTENING UV PROTECTION SUNSCREEN LOTION SPF50+ PA++++,10-1-6800001083,68,ผลิต,ยกเลิก (17/1/2568),13/1/2568,17/1/2568,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,,U1CM00010168000010831054009691C,
บานาน่าโบ๊ท BANANA BOAT,อควา ไบร์ทเทนนิ่ง ยูวีโพรเทคชั่น ซันสกรีนโลชั่น เอสพีเอฟ 50+ พีเอ++++ AQUA BRIGHTENING UV PROTECTION SUNSCREEN LOTION SPF50+ PA++++,10-1-6800002229,68,ผลิต,อนุมัติ,22/1/2568,21/1/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,,U1CM00010168000022291054009691C,
บานาน่าโบ๊ท BANANA BOAT,อควา เดรี่ มอยส์เจอร์ ซันสกรีนโลชั่น เอสพีเอฟ 50+ พีเอ++++ AQUA DAILY MOISTURE SUNSCREEN LOTION SPF50+ PA++++,10-1-6800024395,68,ผลิต,อนุมัติ,4/8/2568,3/8/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,,U1CM00010168000243951054009691C,
บานาน่าโบ๊ท BANANA BOAT,อควา ลองแวริ่ง มอยส์เจอร์ ซันสกรีนโลชั่น เอสพีเอฟ 50+ พีเอ++++ AQUA LONG WEARING MOISTURE SUNSCREEN LOTION SPF50+ PA++++,10-1-6800024397,68,ผลิต,อนุมัติ,4/8/2568,3/8/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,,U1CM00010168000243971054009691C,
บู๊ทส์ BOOTS,แคริบเบี้ยน ค็อกเทล สวีท ราสป์เบอร์รี่ แอนด์ ไฮบิสคัส มาร์การิต้า ชูการ์ สครับ CARIBBEAN COCKTAIL SWEET RASPBERRY & HIBISCUS MARGARITA SUGAR SCRUB,10-1-6800017987,68,ผลิต,ยกเลิก (17/6/2568),11/6/2568,17/6/2568,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00010168000179871054009691C,
บู๊ทส์ BOOTS,แคริบเบี้ยน ค็อกเทล สวีท ราสป์เบอร์รี่ แอนด์ ไฮบิสคัส มาร์การิต้า ชูการ์ สครับ CARIBBEAN COCKTAIL SWEET RASPBERRY & HIBISCUS MARGARITA SUGAR SCRUB,10-1-6800018835,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00010168000188351054009691C,
บู๊ทส์ BOOTS,"แคริบเบี้ยน ค็อกเทล ทรอปปิคอล กีวี่ เมลอน แอนด์ ออร์คิด มาร์ตินี่ ชูการ์ สครับ CARIBBEAN COCKTAIL TROPICAL KIWI, MELON & ORCHID MARTINI SUGAR SCRUB",10-1-6800018078,68,ผลิต,ยกเลิก (17/6/2568),12/6/2568,17/6/2568,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00010168000180781054009691C,
บู๊ทส์ BOOTS,"แคริบเบี้ยน ค็อกเทล ทรอปปิคอล กีวี่ เมลอน แอนด์ ออร์คิด มาร์ตินี่ ชูการ์ สครับ CARIBBEAN COCKTAIL TROPICAL KIWI, MELON & ORCHID MARTINI SUGAR SCRUB",10-1-6800018836,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00010168000188361054009691C,
บู๊ทส์ BOOTS,แคริบเบี้ยน ค็อกเทล เซสตี้ ไลม์ แอนด์ มิ้นท์ โมฮิโต้ ชูการ์ สครับ CARIBBEAN COCKTAIL ZESTY LIME & MINT MOJITO SUGAR SCRUB,10-1-6800017988,68,ผลิต,ยกเลิก (17/6/2568),11/6/2568,17/6/2568,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00010168000179881054009691C,
บู๊ทส์ BOOTS,แคริบเบี้ยน ค็อกเทล เซสตี้ ไลม์ แอนด์ มิ้นท์ โมฮิโต้ ชูการ์ สครับ CARIBBEAN COCKTAIL ZESTY LIME & MINT MOJITO SUGAR SCRUB,10-1-6800018837,68,ผลิต,อนุมัติ,18/6/2568,17/6/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท บู๊ทส์ รีเทล (ประเทศไทย) จำกัด,U1CM00010168000188371054009691C,
เคลียร์โนส CLEAR NOSE,บูสต์แพด ไบรท์เทนนิ่ง เดลี่ บูสเตอร์ BOOST PAD BRIGHTENING DAILY BOOSTER,10-1-6800031049,68,ผลิต,อนุมัติ,24/9/2568,23/9/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท เอ็นอาร์พีแอล เอเชีย จำกัด,U1CM00010168000310491054009691C,
เคลียร์โนส CLEAR NOSE,บูสต์แพด ไบรท์เทนนิ่ง เดลี่ เฟเชียล บูสเตอร์ BOOST PAD BRIGHTENING DAILY FACIAL BOOSTER,10-1-6800031184,68,ผลิต,อนุมัติ,25/9/2568,24/9/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท เคลียร์โนส จำกัด,U1CM00010168000311841054009691C,
เคลียร์โนส CLEAR NOSE,เอ็กซ์ตร้า มอยส์ สกิน แบริเออร์ มอยส์เจอไรซิ่ง เจล ครีม EXTRA MOIST SKIN BARRIER MOISTURIZING GEL CREAM,10-1-6800010998,68,ผลิต,อนุมัติ,7/4/2568,6/4/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท เอ็นอาร์พีแอล เอเชีย จำกัด,U1CM00010168000109981054009691C,
เคลียร์โนส CLEAR NOSE,เอ็กซ์ตร้า มอยส์ สกิน แบริเออร์ มอยส์เจอไรซิ่ง เจล ครีม เฟเชียล EXTRA MOIST SKIN BARRIER MOISTURIZING GEL CREAM FACIAL,10-1-6800010997,68,ผลิต,อนุมัติ,7/4/2568,6/4/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท เคลียร์โนส จำกัด,U1CM00010168000109971054009691C,
เคลียร์โนส CLEAR NOSE,มอยส์แพด สกิน แบริเออร์ เดลี่ บูสเตอร์ MOIST PAD SKIN BARRIER DAILY BOOSTER,10-1-6800031047,68,ผลิต,อนุมัติ,24/9/2568,23/9/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท เอ็นอาร์พีแอล เอเชีย จำกัด,U1CM00010168000310471054009691C,
เคลียร์โนส CLEAR NOSE,มอยส์แพด สกิน แบริเออร์ เดลี่ เฟเชียล บูสเตอร์ MOIST PAD SKIN BARRIER DAILY FACIAL BOOSTER,10-1-6800031048,68,ผลิต,อนุมัติ,24/9/2568,23/9/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,บริษัท เคลียร์โนส จำกัด,U1CM00010168000310481054009691C,
คิวต้าโปร สกิน ไซน์ CUTAPRO SKIN SCIENCE,แอโทแคร์ เบบี้ โลชั่น ATOCARE BABY LOTION,10-1-6800022534,68,ผลิต,อนุมัติ,18/7/2568,17/7/2571,บริษัท อุตสาหกรรมมิตรมงคล จำกัด,-,,U1CM00010168000225341054009691C,
