ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
&HONEY,DEEP MOIST SHAMPOO 1.0,11-3-6800000776,68,,อนุมัติ,6/8/2568,5/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"COSME COMPANY CO., LTD. SEIHOU BUILDING 7F, 3-5-6, KITAAOYAMA, MINATOKU, TOKYO, 107-0061, JAPAN",,U1CM00011368000007761060426281C,
&HONEY,DEEP MOIST SHAMPOO 1.0,11-3-6800000789,68,,อนุมัติ,8/8/2568,7/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,,U1CM00011368000007891059030411C,
&HONEY,DEEP MOIST TREATMENT 2.0,11-3-6800000777,68,,อนุมัติ,6/8/2568,5/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"COSME COMPANY CO., LTD. SEIHOU BUILDING 7F, 3-5-6, KITAAOYAMA, MINATOKU, TOKYO, 107-0061, JAPAN",,U1CM00011368000007771060426281C,
&HONEY,DEEP MOIST TREATMENT 2.0,11-3-6800000790,68,,อนุมัติ,8/8/2568,7/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,,U1CM00011368000007901059030411C,
&HONEY,MELTY MOIST REPAIR SHAMPOO 1.0,11-3-6800000778,68,,อนุมัติ,6/8/2568,5/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"COSME COMPANY CO., LTD. SEIHOU BUILDING 7F, 3-5-6, KITAAOYAMA, MINATOKU, TOKYO, 107-0061, JAPAN",,U1CM00011368000007781060426281C,
&HONEY,MELTY MOIST REPAIR SHAMPOO 1.0,11-3-6800000791,68,,อนุมัติ,8/8/2568,7/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,,U1CM00011368000007911059030411C,
&HONEY,MELTY MOIST REPAIR TREATMENT 2.0,11-3-6800000779,68,,อนุมัติ,6/8/2568,5/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"COSME COMPANY CO., LTD. SEIHOU BUILDING 7F, 3-5-6, KITAAOYAMA, MINATOKU, TOKYO, 107-0061, JAPAN",,U1CM00011368000007791060426281C,
&HONEY,MELTY MOIST REPAIR TREATMENT 2.0,11-3-6800000792,68,,อนุมัติ,8/8/2568,7/8/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,,U1CM00011368000007921059030411C,
เอท เดอะ ธาลาสโซ 8 THE THALASSO,มอยซ์ แชมพู MOIST SHAMPOO,11-2-6800013144,68,นำเข้า,อนุมัติ,21/4/2568,20/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,"COSME COMPANY CO., LTD. SEIHOU BUILDING 7F, 3-5-6, KITAAOYAMA, MINATOKU, TOKYO, 107-0061, JAPAN",,U1CM00011268000131441060426281C,
เอท เดอะ ธาลาสโซ 8 THE THALASSO,มอยซ์ แชมพู MOIST SHAMPOO,11-4-6800000205,68,ผลิตแบบแบ่งบรรจุ,อนุมัติ,24/4/2568,23/4/2571,บริษัท ไมลอทท์ แลบบอราทอรีส์ จำกัด,-,,U1CM00011468000002051059030411C,
