ชื่อการค้า,ชื่อเครื่องสำอาง,เลขที่ใบรับจดแจ้ง,ปีที่จดแจ้ง,ประเภทการจดแจ้ง,สถานะใบรับจดแจ้ง,วันที่อนุญาต,วันที่หมดอายุ,ชื่อผู้ประกอบการ,ชื่อและที่อยู่ผู้ผลิตต่างประเทศ,ชื่อผู้ว่าจ้างผลิต,เลขอ้างอิงสำหรับ,SKUs
แอคชั่น ACTION,ไดซีน ครีมแต่งผม DIACIN HAIR CREAM,20-1-6800008623,68,ผลิต,อนุมัติ,17/3/2568,16/3/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) จำกัด,U1CM00020168000086231061178041C,
แอคินส์ AKINS,ฟิวเจอร์ เรดี้ คอมฟี ซันสกรีน เอสพีเอฟ50+ พีเอ++++ FUTURE READY COMFY SUNSCREEN SPF50+ PA++++,20-1-6800008429,68,ผลิต,อนุมัติ,14/3/2568,13/3/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท ออล ธิง กู๊ด (ประเทศไทย) จำกัด,U1CM00020168000084291061178041C,
อะเลาวี่ ALLOWY,บ๊าย บาย เมคอัพ เฟเชียล คลีนซิ่ง เจล BYE BYE MAKEUP FACIAL CLEANSING GEL,20-1-6800022030,68,ผลิต,อนุมัติ,15/7/2568,14/7/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,,U1CM00020168000220301061178041C,
อะเลาวี่ ALLOWY,โกลววี่ สไมล์ ลิปกลอส GLOWY SMILE LIP GLOSS,20-1-6800022095,68,ผลิต,อนุมัติ,16/7/2568,15/7/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,,U1CM00020168000220951061178041C,
อะเลาวี่ ALLOWY,แฮปปี้ สไมล์ ลิปกลอส HAPPY SMILE LIP GLOSS,20-1-6800022094,68,ผลิต,อนุมัติ,16/7/2568,15/7/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,,U1CM00020168000220941061178041C,
อะเลาวี่ ALLOWY,เรนโบว์ ทาวเวอร์ RAINBOW TOWER,20-1-6800024577,68,ผลิต,อนุมัติ,5/8/2568,4/8/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,,U1CM00020168000245771061178041C,
เอโออาร์เอ AORA,อินนิเซีย 12อาวเออร์ อิลลูมิเนติ้ง ไพรเมอร์ INICIA 12HR ILLUMINATING PRIMER,20-1-6800026262,68,ผลิต,อนุมัติ,19/8/2568,18/8/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,,U1CM00020168000262621061178041C,
อะโรมิ บาย วัตสัน AROME BY WATSONS,ไวท์ มัสก์ บอดี้ มิสท์ WHITE MUSK BODY MIST,20-1-6800013043,68,ผลิต,อนุมัติ,29/4/2568,28/4/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท เซ็นทรัล วัตสัน จำกัด,U1CM00020168000130431061178041C,
อะโรมิ บาย วัตสัน AROME BY WATSONS,ไวท์ มัสก์ ดิโอโดแรนท์ โรล-ออน WHITE MUSK DEODORANT ROLL-ON,20-1-6800013906,68,ผลิต,อนุมัติ,7/5/2568,6/5/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท เซ็นทรัล วัตสัน จำกัด,U1CM00020168000139061061178041C,
อะโรมิ บาย วัตสัน AROME BY WATSONS,ไวท์ มัสก์ แฮนด์ ครีม WHITE MUSK HAND CREAM,20-1-6800013046,68,ผลิต,อนุมัติ,29/4/2568,28/4/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท เซ็นทรัล วัตสัน จำกัด,U1CM00020168000130461061178041C,
อะโรมิ บาย วัตสัน AROME BY WATSONS,ไวท์ มัสก์ เพอร์ฟูม เจล วอช WHITE MUSK PERFUME GEL WASH,20-1-6800014274,68,ผลิต,อนุมัติ,9/5/2568,8/5/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,บริษัท เซ็นทรัล วัตสัน จำกัด,U1CM00020168000142741061178041C,
ออสตราลิส AUSTRALIS,เฟรส & ฟลอว์เลส เพรส พาวเดอร์ ออยล์ ฟรี & ฟราแกรนส์ ฟรี FRESH & FLAWLESS PRESSED POWDER OIL FREE & FRAGRANCE FREE,20-1-6800001216,68,ผลิต,อนุมัติ,14/1/2568,13/1/2571,บริษัท เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),-,,U1CM00020168000012161061178048C,
